date,pair,strategy,signal,pnl
2025-09-18,C-JPM,ou_baseline,0,-0.003356302073391726
2025-10-06,C-JPM,ou_baseline,-1,-0.001
2025-12-08,C-JPM,ou_baseline,0,-0.0007869754848543502
2025-12-19,C-JPM,ou_baseline,1,-0.001
2024-08-06,C-MS,ou_baseline,1,-0.001
2024-10-04,C-MS,ou_baseline,0,-0.011917877657149335
2024-10-16,C-MS,ou_baseline,-1,-0.001
2024-12-11,C-MS,ou_baseline,0,0.009811068574546236
2025-01-08,C-MS,ou_baseline,1,-0.001
2025-03-12,C-MS,ou_baseline,0,-0.013584856073936422
2025-07-16,C-MS,ou_baseline,1,-0.001
2025-09-09,C-MS,ou_baseline,0,-0.02168787172455157
2025-12-17,C-MS,ou_baseline,1,-0.001
2024-09-24,GS-JPM,ou_baseline,-1,-0.001
2024-10-31,GS-JPM,ou_baseline,0,0.002670560493952743
2024-11-12,GS-JPM,ou_baseline,1,-0.001
2025-01-21,GS-JPM,ou_baseline,0,-0.00560014242113484
2025-02-03,GS-JPM,ou_baseline,-1,-0.001
2025-03-13,GS-JPM,ou_baseline,0,0.007332631620039893
2025-04-11,GS-JPM,ou_baseline,1,-0.001
2025-05-16,GS-JPM,ou_baseline,0,0.0037580977566201244
2025-07-02,GS-JPM,ou_baseline,1,-0.001
2025-09-04,GS-JPM,ou_baseline,0,0.001745623149318796
2025-09-25,GS-JPM,ou_baseline,-1,-0.001
2025-12-12,GS-JPM,ou_baseline,0,0.029032450200877767
2025-12-19,GS-JPM,ou_baseline,1,-0.001
2024-08-06,GS-MS,ou_baseline,-1,-0.001
2024-11-11,GS-MS,ou_baseline,0,-0.006673979380090326
2024-12-10,GS-MS,ou_baseline,1,-0.001
2025-03-07,GS-MS,ou_baseline,0,-0.014377896593427995
2025-06-27,GS-MS,ou_baseline,1,-0.001
2025-09-02,GS-MS,ou_baseline,0,-0.005165513166700307
2025-12-30,GS-MS,ou_baseline,1,-0.001
2024-07-29,JPM-MS,ou_baseline,1,-0.001
2024-08-12,JPM-MS,ou_baseline,0,-1.0914878338798284e-05
2024-09-23,JPM-MS,ou_baseline,-1,-0.001
2024-11-18,JPM-MS,ou_baseline,0,-0.0007997784502991371
2024-12-12,JPM-MS,ou_baseline,1,-0.001
2025-03-10,JPM-MS,ou_baseline,0,0.019010616241262983
2025-07-18,JPM-MS,ou_baseline,1,-0.001
2025-08-25,JPM-MS,ou_baseline,0,-0.003333001335522082
2025-09-10,JPM-MS,ou_baseline,-1,-0.001
2025-12-24,JPM-MS,ou_baseline,0,-0.006640505282429465
